t,theta_r,theta
0.571,1.0122909661567112,1.0122909661567112
0.575,1.0297442586766545,1.0297442586766545
0.579,1.0471975511965976,1.0471975511965976
0.583,1.0471975511965976,1.0471975511965976
0.588,1.064650843716541,1.064650843716541
0.592,1.0821041362364843,1.0821041362364843
0.596,1.0995574287564276,1.0995574287564276
0.6,1.0995574287564276,1.0995574287564276
0.604,1.117010721276371,1.117010721276371
0.608,1.1344640137963142,1.1344640137963142
0.613,1.1344640137963142,1.1344640137963142
0.617,1.1519173063162575,1.1519173063162575
0.621,1.1519173063162575,1.1519173063162575
0.625,1.1693705988362009,1.1693705988362009
0.629,1.1868238913561442,1.1868238913561442
0.633,1.2042771838760873,1.2042771838760873
0.638,1.2217304763960306,1.2217304763960306
0.642,1.2217304763960306,1.2217304763960306
0.646,1.239183768915974,1.239183768915974
0.65,1.2566370614359172,1.2566370614359172
0.654,1.2740903539558606,1.2740903539558606
0.658,1.2740903539558606,1.2740903539558606
0.663,1.2915436464758039,1.2915436464758039
0.667,1.3089969389957472,1.3089969389957472
0.671,1.3264502315156905,1.3264502315156905
0.675,1.3439035240356338,1.3439035240356338
0.679,1.3439035240356338,1.3439035240356338
0.683,1.361356816555577,1.361356816555577
0.688,1.3788101090755203,1.3788101090755203
0.692,1.3962634015954636,1.3962634015954636
0.696,1.413716694115407,1.413716694115407
0.7,1.413716694115407,1.413716694115407
0.704,1.4311699866353502,1.4311699866353502
0.708,1.4486232791552935,1.4486232791552935
0.713,1.4660765716752369,1.4660765716752369
0.717,1.4835298641951802,1.4835298641951802
0.721,1.4835298641951802,1.4835298641951802
0.725,1.5009831567151235,1.5009831567151235
0.729,1.5184364492350666,1.5184364492350666
0.733,1.53588974175501,1.53588974175501
0.738,1.5533430342749532,1.5533430342749532
0.742,1.5707963267948966,1.5707963267948966
0.746,-4.71238898038469,1.5707963267948966
0.75,-4.694935687864747,1.5882496193148399
0.754,-4.6774823953448035,1.6057029118347832
0.758,-4.642575810304916,1.6406094968746698
0.763,-4.625122517784973,1.6580627893946132
0.767,-4.625122517784973,1.6580627893946132
0.771,-4.60766922526503,1.6755160819145565
0.775,-4.590215932745087,1.6929693744344996
0.779,-4.590215932745087,1.6929693744344996
0.783,-4.5553093477052,1.7278759594743862
0.788,-4.537856055185257,1.7453292519943295
0.792,-4.520402762665314,1.7627825445142729
0.796,-4.50294947014537,1.7802358370342162
0.8,-4.485496177625427,1.7976891295541595
0.804,-4.4505895925855405,1.8325957145940461
0.808,-4.4331363000655974,1.8500490071139892
0.813,-4.4156830075456535,1.8675022996339325
0.817,-4.39822971502571,1.8849555921538759
0.821,-4.380776422505767,1.9024088846738192
0.825,-4.34586983746588,1.9373154697137058
0.829,-4.310963252425994,1.9722220547535925
0.833,-4.258603374866164,2.0245819323134224
0.838,-4.258603374866164,2.0245819323134224
0.842,-4.223696789826278,2.059488517353309
0.846,-4.2062434973063345,2.076941809873252
0.85,-4.1887902047863905,2.0943951023931953
0.854,-4.171336912266447,2.111848394913139
0.858,-4.136430327226561,2.1467549799530254
0.863,-4.136430327226561,2.1467549799530254
0.867,-4.101523742186674,2.181661564992912
0.871,-4.084070449666731,2.199114857512855
0.875,-4.066617157146788,2.2165681500327987
0.879,-4.031710572106901,2.251474735072685
0.883,-3.9968039870670147,2.2863813201125716
0.888,-3.9793506945470716,2.303834612632515
0.892,-3.944444109507185,2.3387411976724017
0.896,-3.944444109507185,2.3387411976724017
0.9,-3.9269908169872414,2.356194490192345
0.904,-3.9095375244672983,2.3736477827122884
0.908,-3.8746309394274117,2.4085543677521746
0.913,-3.839724354387525,2.443460952792061
0.917,-3.839724354387525,2.443460952792061
